Section,ID,Type,Title,Description,Priority,Status,Owner,StartDate,DueDate,DependsOn,LinkedAC,AC_ID,Given,When,Then,Method,Path,Purpose,Headers/Notes,Name,Scope,Notes,Default,Field,Format,RiskID,Risk,Mitigation,Severity
Backlog,M1,Milestone,Project Setup,Create Vercel project & GitHub repo; scaffold SPA + serverless; add /api/ping,High,Todo,,2025-08-14,2025-08-14,,,,,,,,,,,,,,,,,,,,
Backlog,M1-1,Task,Create Vercel proj & repo,"Initialize repo, connect to Vercel, configure build",High,Todo,,2025-08-14,2025-08-14,M1,,,,,,,,,,,,,,,,,,,
Backlog,M1-2,Task,Scaffold SPA + functions,Base folders for client and /api routes,High,Todo,,2025-08-14,2025-08-14,M1,,,,,,,,,,,,,,,,,,,
Backlog,M1-3,Task,Health check endpoint,Implement GET /api/ping,Medium,Todo,,2025-08-14,2025-08-14,M1,,,,,,,,,,,,,,,,,,,
Backlog,M2,Milestone,Proxy Layer,"Solscan & Meteora proxy endpoints with retries, throttling, headers",High,Todo,,2025-08-14,2025-08-16,,,,,,,,,,,,,,,,,,,,
Backlog,M2-1,Task,Solscan account-transactions,"GET /api/solscan/account-transactions (paging, delay, retries)",High,Todo,,2025-08-14,2025-08-16,M2,AC-2,,,,,,,,,,,,,,,,,,
Backlog,M2-2,Task,Solscan tx details,GET /api/solscan/tx/:signature,High,Todo,,2025-08-14,2025-08-16,M2,"AC-3, AC-4",,,,,,,,,,,,,,,,,,
Backlog,M2-3,Task,Meteora pool,GET /api/meteora/pool/:slug,Medium,Todo,,2025-08-14,2025-08-16,M2,,,,,,,,,,,,,,,,,,,
Backlog,M2-4,Task,Meteora position,GET /api/meteora/position/:address,Medium,Todo,,2025-08-14,2025-08-16,M2,AC-4,,,,,,,,,,,,,,,,,,
Backlog,M2-5,Task,Header injection,x-api-key & referer server-side; env-based,High,Todo,,2025-08-14,2025-08-16,M2,,,,,,,,,,,,,,,,,,,
Backlog,M2-6,Task,Rate limiting,Token bucket per-IP + backoff,Medium,Todo,,2025-08-14,2025-08-16,M2,,,,,,,,,,,,,,,,,,,
Backlog,M3,Milestone,UI Parity,"Desktop-first layout, two tabs, parameter panels, tables",High,Todo,,2025-08-16,2025-08-19,,,,,,,,,,,,,,,,,,,,
Backlog,M3-1,Task,Tabs & layout,PositionPnL and WalletPoolPnL tabs,High,Todo,,2025-08-16,2025-08-16,M3,AC-1,,,,,,,,,,,,,,,,,,
Backlog,M3-2,Task,Find Transactions flow,"Trigger proxy, render table",High,Todo,,2025-08-16,2025-08-19,M3,AC-2,,,,,,,,,,,,,,,,,,
Backlog,M3-3,Task,Find Positions flow,Resolve position & wallet addresses,High,Todo,,2025-08-16,2025-08-19,M3,AC-3,,,,,,,,,,,,,,,,,,
Backlog,M3-4,Task,Fetch Position Data,Compute realized PnL + duration,High,Todo,,2025-08-16,2025-08-19,M3,AC-4,,,,,,,,,,,,,,,,,,
Backlog,M4,Milestone,CSV Export & Polish,"Exporter + sorting, sticky header, loaders/errors",High,Todo,,2025-08-19,2025-08-20,,,,,,,,,,,,,,,,,,,,
Backlog,M4-1,Task,CSV exporter,CSV with approved schema,High,Todo,,2025-08-19,2025-08-20,M4,AC-5,,,,,,,,,,,,,,,,,,
Backlog,M4-2,Task,UX polish,"Sorting, copy links, empty & error states",Medium,Todo,,2025-08-19,2025-08-20,M4,AC-6,,,,,,,,,,,,,,,,,,
